CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Precip,Pressure,RH,Site,Temp,Wind
"Altoona, PA",40.535278,-78.370833,6.2450149025,24.730964467,NA,NA,16.4904109589,15.2575342466,NA,NA,NA,NA,0.0294220747664,41.738317757,4.72303420548,17.1671232877,11020,Metropolitan Statistical Area,127089.0,525.8,241.7,2428.7,51740.0,0.843536527708,5125.0,0.0835547874855,4279.0,0.0697621337855,193.0,0.00314655102141,61337.0,1525.0,1015.55161364,NA,725126-14736-2010,49.3293050609,6.26791208
"Amarillo, TX",35.201584,-101.909248,5.94375,24.625,5.93381581466,24.5988857939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11100,Metropolitan Statistical Area,249881.0,3649.2,68.5,2591.4,93862.0,0.811779459459,14998.0,0.129712432432,6482.0,0.0560605405405,283.0,0.00244756756757,115625.0,820.7,1013.71601512,NA,723630-23047-2010,55.7718341818,11.2747536745
"Anchorage, AK",61.3297015389,-149.607352284,5.16688512025,20.8676861702,1.37291666667,5.775,16.3786539769,14.8205302515,0.921398552408,15.895184136,NA,NA,0.0172191025641,21.0839160839,NA,NA,11260,Metropolitan Statistical Area,380821.0,26312.6,14.5,3006.9,141199.0,0.759334448322,23534.0,0.126560222854,18187.0,0.0978053358143,3031.0,0.0162999930089,185951.0,NA,NA,NA,702746-26497-2010,35.3535594573,2.74183215391
"Anderson, IN",40.1236822897,-85.6562713458,11.0553604136,42.9333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.0344322663043,40.8206521739,NA,NA,11300,Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724385-04828-2010,56.9345679012,6.65210481476
"Ann Arbor, MI",42.240565,-83.599602,9.33107344633,35.9491525424,NA,NA,NA,NA,NA,NA,NA,NA,0.0319519945652,39.1358695652,NA,NA,11460,Metropolitan Statistical Area,344791.0,706.0,488.4,3363.5,153316.0,0.760126525796,17234.0,0.0854445755536,23127.0,0.114661523664,8021.0,0.0397673749864,201698.0,1183.8,1015.45621646,NA,725376-14853-2010,49.9190301003,7.34008546136
"Appleton, WI",44.30738,-88.395134,9.75882352941,36.8991596639,NA,NA,NA,NA,NA,NA,NA,NA,0.0309807298578,34.6777251185,NA,NA,11540,Metropolitan Statistical Area,225666.0,955.8,236.1,1950.0,93144.0,0.840649819495,8281.0,0.074738267148,8578.0,0.0774187725632,797.0,0.00719314079422,110800.0,NA,NA,NA,726457-04825-2010,46.2488143606,7.32129964904
"Asheville, NC",35.5662591362,-82.7437759701,10.3906976744,41.1196013289,9.30762535525,36.6858846918,NA,NA,NA,NA,NA,NA,0.0365086028037,43.2126168224,NA,NA,11700,Metropolitan Statistical Area,424858.0,2033.0,209.0,728.7,152450.0,0.805025003564,19485.0,0.102892175759,16576.0,0.0875309574227,862.0,0.004551863254,189373.0,1685.3,1016.5602275,NA,723150-03812-2010,54.3698837716,5.20110567489
"Athens, OH",39.442165,-81.908827,9.24181818182,37.4,NA,NA,NA,NA,NA,NA,4.02835839779,8.05524861878,0.0311183179724,39.1382488479,4.97182170994,17.4143646409,11900,Micropolitan Statistical Area,64757.0,503.6,128.6,2950.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.4,NA,NA,720397-99999-2010,54.0221065125,3.48448311293
"Athens-Clarke County, GA",33.918067,-83.344495,11.3805825243,44.3883495146,10.2369360318,40.5452380952,NA,NA,NA,NA,NA,NA,0.0304668305785,42.5867768595,NA,NA,12020,Metropolitan Statistical Area,192541.0,1024.8,187.9,1442.5,69370.0,0.797127262281,7849.0,0.0901924734272,8189.0,0.0940993967251,1617.0,0.0185808675668,87025.0,1840.8,1016.59194736,NA,723110-13873-2010,61.0106132002,4.29518730904
"Atlanta-Sandy Springs-Marietta, GA",33.8453635026,-84.424558727,12.565564478,47.9036372225,11.57188224,44.1685185185,18.226640159,16.8330019881,0.31446663578,4.60917431193,6.76288457091,14.1738334858,0.0290734801247,42.2205767732,1.76367937445,8.73348017621,12060,Metropolitan Statistical Area,5268860.0,8338.5,631.9,2173.0,1892267.0,0.780229417756,251108.0,0.103538162761,206079.0,0.0849715701757,75816.0,0.0312608493075,2425270.0,1331.9,1015.9460348,NA,722270-13864-2010,59.410636809,5.73330794869
"Atlantic City, NJ",39.4149344786,-74.4400195897,8.84700854701,34.641025641,7.78226906977,30.6361556064,15.4285714286,14.0,NA,NA,NA,NA,0.0331287369863,37.6109589041,0.924480526027,2.40273972603,12100,Metropolitan Statistical Area,274549.0,555.7,494.1,3412.3,98468.0,0.762756109842,10650.0,0.0824973856462,10120.0,0.0783918819474,9857.0,0.0763546225648,129095.0,1660.1,1014.27193536,NA,724070-93730-2010,55.6962590274,7.77523474249
