CBSA Name,Latitude,Longitude,Value,Pollutant
"Davenport-Moline-Rock Island, IA-IL",41.5251738,-90.60085289,12.23418108,PM2.5
"Dayton, OH",39.79554436,-84.26935832,12.913,PM2.5
"Decatur, AL",34.518735,-86.976939,11.15527673,PM2.5
"Decatur, IL",39.866834,-88.925594,12.03137255,PM2.5
"Deltona-Daytona Beach-Ormond Beach, FL",29.206667,-81.0525,7.54017094,PM2.5
"Denver-Aurora, CO",39.70886032,-104.9688215,7.398333333,PM2.5
"Des Moines-West Des Moines, IA",41.60324755,-93.66903423,10.12260128,PM2.5
"Detroit-Warren-Livonia, MI",42.36918338,-83.07779311,10.50679206,PM2.5
"Dickinson, ND",46.8943,-103.37853,4.653448276,PM2.5
"Dothan, AL",31.226359,-85.390768,12.44705603,PM2.5
"Dover, DE",39.07272309,-75.53699365,9.542600897,PM2.5
"Duluth, MN-WI",46.97060103,-92.21101686,5.666285714,PM2.5
"Durango, CO",37.12531294,-107.7096334,4.160588235,PM2.5
"Durham, NC",35.89389454,-79.03366564,9.531465517,PM2.5
"East Stroudsburg, PA",41.08306,-75.32328,9.157362381,PM2.5
"Eau Claire, WI",44.812,-91.496,10.04285714,PM2.5
"El Centro, CA",32.78617514,-115.5200726,9.472488038,PM2.5
"El Dorado, AR",33.220274,-92.669619,11.61583333,PM2.5
"El Paso, TX",31.76459761,-106.4846992,10.04624277,PM2.5
"Elizabethtown, KY",37.705612,-85.852629,11.77318436,PM2.5
"Elkhart-Goshen, IN",41.656905,-85.968372,12.81605317,PM2.5
"Erie, PA",42.14175,-80.038611,11.24219588,PM2.5
"Eugene-Springfield, OR",43.95846739,-122.9936976,6.45,PM2.5
"Eureka-Arcata-Fortuna, CA",40.78950311,-124.1697125,5.903409091,PM2.5
"Evansville, IN-KY",38.01887243,-87.54379887,12.58662383,PM2.5
"Fairbanks, AK",64.81789312,-147.6210946,12.32665037,PM2.5
"Fairmont, WV",39.481483,-80.134667,13.1039604,PM2.5
"Fajardo, PR",18.383983,-65.618888,7.548648649,PM2.5
"Fargo, ND-MN",46.933754,-96.85535,9.568171237,PM2.5
"Farmington, NM",36.774162,-108.165034,4.57357513,PM2.5
"Fayetteville, NC",35.041416,-78.953112,11.38760331,PM2.5
"Fayetteville-Springdale-Rogers, AR-MO",36.1797,-94.116827,11.13983051,PM2.5
"Flagstaff, AZ",35.206111,-111.652777,5.075,PM2.5
"Flint, MI",43.047224,-83.670159,8.844262295,PM2.5
"Florence, SC",34.214263,-79.767347,10.85363636,PM2.5
"Florence-Muscle Shoals, AL",34.758781,-87.650562,11.03932191,PM2.5
"Fort Collins-Loveland, CO",40.571288,-105.079693,6.461788618,PM2.5
"Fort Madison-Keokuk, IA-MO",40.400959,-91.391012,11.80956522,PM2.5
"Fort Payne, AL",34.287627,-85.968298,11.49805825,PM2.5
"Fort Smith, AR-OK",35.4279724,-94.5054422,11.201,PM2.5
"Fort Wayne, IN",41.12594064,-85.32059866,13.30314098,PM2.5
"Frankfort, KY",38.219361,-84.8385,11.3795082,PM2.5
"Fresno, CA",36.74209576,-119.962248,11.66617643,PM2.5
"Gadsden, AL",33.993749,-85.991072,13.77481133,PM2.5
"Gainesville, FL",29.68910527,-82.39509419,7.947881356,PM2.5
"Gainesville, GA",34.30008,-83.81217,11.39009009,PM2.5
"Gettysburg, PA",39.92002,-77.30968,11.75163742,PM2.5
"Gillette, WY",44.09234726,-105.3676279,5.293744386,PM2.5
"Goldsboro, NC",35.369214,-77.993893,10.63833333,PM2.5
"Grand Island, NE",40.942099,-98.364967,7.273451327,PM2.5
"Grand Junction, CO",39.063798,-108.561173,8.999159664,PM2.5
"Grand Rapids-Wyoming, MI",42.97323592,-85.6743711,9.718983051,PM2.5
"Grants Pass, OR",42.434139,-123.348466,6.405263158,PM2.5
"Greeley, CO",40.31561488,-104.7635049,7.457627119,PM2.5
"Green Bay, WI",44.50729,-87.99344,10.31532305,PM2.5
"Greensboro-High Point, NC",36.09989713,-79.84823935,10.43980769,PM2.5
"Greenville, NC",35.63861,-77.35805,9.218803419,PM2.5
"Greenville-Mauldin-Easley, SC",34.87254107,-82.36194759,11.6034188,PM2.5
"Grenada, MS",33.834444,-89.792778,9.789915966,PM2.5
"Guayama, PR",17.957894,-66.165016,7.96,PM2.5
"Gulfport-Biloxi, MS",30.34401629,-89.22897334,9.913716814,PM2.5
"Hagerstown-Martinsburg, MD-WV",39.53735159,-77.77656094,12.19507545,PM2.5
"Hammond, LA",30.503056,-90.376944,8.910714286,PM2.5
"Hanford-Corcoran, CA",36.18976743,-119.5989878,17.39166411,PM2.5
"Harriman, TN",35.90963051,-84.51197896,13.22857198,PM2.5
"Harrisburg-Carlisle, PA",40.24672031,-77.04593016,12.83792387,PM2.5
"Harrisonburg, VA",38.47753,-78.81952,11.26239316,PM2.5
"Hartford-West Hartford-East Hartford, CT",41.77452431,-72.63233772,7.873728814,PM2.5
"Hattiesburg, MS",31.323639,-89.287167,12.00608696,PM2.5
"Helena, MT",46.658762,-112.013089,9.365622697,PM2.5
"Helena-West Helena, AR",34.529766,-90.586049,11.45083333,PM2.5
"Hickory-Lenoir-Morganton, NC",35.728889,-81.365556,11.41435897,PM2.5
"Hilo, HI",19.38768281,-155.5709089,11.70627241,PM2.5
"Hobbs, NM",32.726656,-103.122917,5.655660377,PM2.5
"Holland-Grand Haven, MI",42.894451,-85.852734,9.141666667,PM2.5
"Homosassa Springs, FL",28.980556,-82.7,7.625342466,PM2.5
"Honolulu, HI",21.33364596,-157.9481043,5.826026269,PM2.5
"Hot Springs, AR",34.469441,-93.000178,11.01239669,PM2.5
"Houma-Bayou Cane-Thibodaux, LA",29.678883,-90.779967,8.799166667,PM2.5
"Houston-Sugar Land-Baytown, TX",29.75684932,-95.23934311,12.12587549,PM2.5
"Huntington-Ashland, WV-KY-OH",38.4612108,-82.56567409,12.37380952,PM2.5
"Huntsville, AL",34.68767,-86.58637,11.58583333,PM2.5
"Indianapolis-Carmel, IN",39.7891226,-86.16434226,14.6524791,PM2.5
"Iowa City, IA",41.657232,-91.503478,11.47362319,PM2.5
"Jackson, MS",32.36189133,-90.15196598,11.47511962,PM2.5
"Jackson, WY-ID",43.47808,-110.76118,4.266071429,PM2.5
"Jacksonville, FL",30.28165084,-81.60564027,8.640994371,PM2.5
"Jamestown-Dunkirk-Fredonia, NY",42.29071,-79.58961,7.706722689,PM2.5
"Jasper, IN",38.391443,-86.92916,13.5622807,PM2.5
"Johnstown, PA",40.309722,-78.915,13.09004776,PM2.5
"Juneau, AK",58.388497,-134.567237,8.65166426,PM2.5
"Kahului-Wailuku, HI",20.780997,-156.446373,4.794388241,PM2.5
"Kalamazoo-Portage, MI",42.278067,-85.54189,9.318934911,PM2.5
"Kalispell, MT",48.30816278,-114.3061552,8.17933705,PM2.5
"Kansas City, MO-KS",39.01800082,-94.55048137,10.2157057,PM2.5
"Keene, NH",42.930472,-72.272389,8.372835214,PM2.5
"Kingsport-Bristol-Bristol, TN-VA",36.608,-82.1641,10.83050847,PM2.5
"Kinston, NC",35.231459,-77.568792,9.506034483,PM2.5
"Klamath Falls, OR",42.190296,-121.731369,9.823728814,PM2.5
"Kokomo, IN",40.485479,-86.132879,12.50267857,PM2.5
"La Crosse, WI-MN",43.7775,-91.2269,8.15992075,PM2.5
"La Grande, OR",45.339,-118.095206,5.867213115,PM2.5
"Laconia, NH",43.566111,-71.496361,5.803225806,PM2.5
"Lafayette, IN",40.431639,-86.8525,12.93811351,PM2.5
"Lafayette, LA",30.24640341,-92.03415322,9.420661157,PM2.5
"Lake Charles, LA",30.20193524,-93.39264944,9.302489627,PM2.5
"Lakeland, FL",28.028889,-81.972222,7.798,PM2.5
"Lancaster, PA",40.046667,-76.283333,11.72574475,PM2.5
"Lansing-East Lansing, MI",42.738618,-84.534633,8.859821429,PM2.5
"Laramie, WY",41.311586,-105.591725,4.81826087,PM2.5
"Las Cruces, NM",31.94331425,-106.6164459,8.27277628,PM2.5
"Las Vegas-Paradise, NV",36.06159089,-115.1821865,6.311302211,PM2.5
"Laurel, MS",31.688638,-89.135115,12.25798319,PM2.5
"Lebanon, NH-VT",43.629611,-72.309583,6.66531959,PM2.5
"Lewiston-Auburn, ME",44.089406,-70.214219,7.14375,PM2.5
"Lexington-Fayette, KY",38.05235558,-84.50240515,12.21774892,PM2.5
"Lima, OH",40.770944,-84.0539,11.03846154,PM2.5
"Lincoln, NE",40.81259,-96.68302,9.008333333,PM2.5
"Little Rock-North Little Rock-Conway, AR",34.78672132,-92.31687002,12.16839623,PM2.5
"Logan, UT-ID",41.75427848,-111.8351742,10.29900498,PM2.5
"Los Angeles-Long Beach-Santa Ana, CA",33.96914303,-118.1464853,10.89636514,PM2.5
"Louisville/Jefferson County, KY-IN",38.2790358,-85.78504853,13.74177467,PM2.5
"Lubbock, TX",33.590764,-101.850419,6.386666667,PM2.5
"Lumberton, NC",34.645,-78.99028,10.59256198,PM2.5
"Lynchburg, VA",37.332706,-79.215011,9.804273504,PM2.5
"Macon, GA",32.78375342,-83.61911022,13.2167382,PM2.5
"Madera, CA",36.953256,-120.034203,21.45037043,PM2.5
"Madison, WI",43.0911997,-89.3847737,11.39559338,PM2.5
"Manchester-Nashua, NH",42.762056,-71.444583,8.075833333,PM2.5
"Manitowoc, WI",44.138619,-87.6161,9.25625,PM2.5
"Marshall, TX",32.668987,-94.167457,10.4295082,PM2.5
"McAlester, OK",34.90227,-95.784375,9.840983607,PM2.5
"McAllen-Edinburg-Mission, TX",26.226226,-98.29107,9.726923077,PM2.5
"Medford, OR",42.3687564,-122.8781888,6.042564103,PM2.5
"Memphis, TN-MS-AR",35.00789573,-90.08962285,11.00042017,PM2.5
"Merced, CA",37.28529551,-120.4413059,15.04856524,PM2.5
"Meridian, MS",32.364565,-88.731491,11.17731092,PM2.5
"Miami, OK",36.922222,-94.838889,9.562921348,PM2.5
"Miami-Fort Lauderdale-Pompano Beach, FL",26.30343289,-80.36402466,7.089207721,PM2.5
"Michigan City-La Porte, IN",41.707212,-86.891216,10.73898305,PM2.5
"Middlesborough, KY",36.60843,-83.73694,12.83166667,PM2.5
"Milwaukee-Waukesha-West Allis, WI",43.10555066,-87.95216966,11.28528603,PM2.5
"Minneapolis-St. Paul-Bloomington, MN-WI",44.95278591,-93.16198932,9.195550847,PM2.5
"Missoula, MT",46.89865441,-114.0846746,8.119780355,PM2.5
"Mobile, AL",30.62370027,-88.1140801,9.634433962,PM2.5
"Modesto, CA",37.55541292,-120.9061995,12.41276116,PM2.5
"Monroe, LA",32.509713,-92.046093,9.559504132,PM2.5
"Monroe, MI",41.763889,-83.471944,9.386554622,PM2.5
"Montgomery, AL",32.40712,-86.256367,12.09801797,PM2.5
"Morgantown, WV",39.649367,-79.920867,11.31694915,PM2.5
"Mount Vernon, IL",38.082155,-88.624943,11.26833333,PM2.5
"Muncie, IN",40.201141,-85.387999,12.78738739,PM2.5
"Muscatine, IA",41.40747146,-91.06748821,13.20654362,PM2.5
"Muskegon-Norton Shores, MI",43.233061,-86.23858,8.259166667,PM2.5
"Muskogee, OK",35.755273,-95.377669,10.72916667,PM2.5
"Natchez, MS-LA",31.560752,-91.390405,10.41818182,PM2.5
"New Castle, IN",40.009525,-85.523455,12.11711712,PM2.5
"New Haven-Milford, CT",41.36472705,-72.93999064,8.997435897,PM2.5
"New Orleans-Metairie-Kenner, LA",29.99660139,-90.19953599,9.417169811,PM2.5
"New York-Northern New Jersey-Long Island, NY-NJ-PA",40.67905257,-74.0516864,9.600255933,PM2.5
"Niles-Benton Harbor, MI",42.19779,-86.309694,8.753278689,PM2.5
"Nogales, AZ",31.337204,-110.936718,10.2875,PM2.5
"Norwich-New London, CT",41.524167,-72.076667,7.767222222,PM2.5
"Odessa, TX",31.836575,-102.342037,7.068518519,PM2.5
"Ogden-Clearfield, UT",41.16238711,-111.9591384,9.139539007,PM2.5
"Oklahoma City, OK",35.52778238,-97.50688458,9.124662162,PM2.5
"Omaha-Council Bluffs, NE-IA",41.23948052,-95.98260338,10.79664891,PM2.5
"Orlando-Kissimmee, FL",28.60149084,-81.34734462,7.528358209,PM2.5
"Ottawa-Streator, IL",41.293015,-89.049425,9.445132743,PM2.5
"Owensboro, KY",37.780776,-87.075307,12.88416667,PM2.5
"Oxnard-Thousand Oaks-Ventura, CA",34.2682838,-118.8860262,8.599052133,PM2.5
"Paducah, KY-IL",37.06636,-88.63774,11.43628319,PM2.5
"Palm Bay-Melbourne-Titusville, FL",28.053611,-80.628611,6.866666667,PM2.5
"Parkersburg-Marietta-Vienna, WV-OH",39.323533,-81.552367,13.30769231,PM2.5
"Pascagoula, MS",30.378287,-88.53393,9.471929825,PM2.5
"Pendleton-Hermiston, OR",45.652231,-118.823033,6.950847458,PM2.5
"Pensacola-Ferry Pass-Brent, FL",30.525367,-87.20355,9.173856209,PM2.5
"Peoria, IL",40.697007,-89.584737,11.50909091,PM2.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.88988937,-75.36934768,11.52155116,PM2.5
"Phoenix-Mesa-Scottsdale, AZ",33.40803235,-112.0426024,8.369250829,PM2.5
"Pittsburgh, PA",40.44243353,-79.96699808,12.94701099,PM2.5
"Pittsfield, MA",42.448009,-73.254108,8.926890756,PM2.5
"Platteville, WI",42.693,-90.698,10.26,PM2.5
"Pocatello, ID",42.978333,-112.455,4.517738991,PM2.5
"Ponce, PR",18.009558,-66.627249,6.213157895,PM2.5
"Port St. Lucie, FL",27.448889,-80.40833,7.74109589,PM2.5
"Portland-South Portland-Biddeford, ME",43.66524301,-70.26536478,7.666019417,PM2.5
"Portland-Vancouver-Beaverton, OR-WA",45.59277862,-122.6600392,6.229022082,PM2.5
"Portsmouth, OH",38.754595,-82.917,11.8716763,PM2.5
"Poughkeepsie-Newburgh-Middletown, NY",41.49916,-74.00885,8.154385965,PM2.5
"Prescott, AZ",34.595,-112.331,3.866666667,PM2.5
"Prineville, OR",44.299787,-120.844773,8.392,PM2.5
"Providence-New Bedford-Fall River, RI-MA",41.73388069,-71.50745812,7.324748812,PM2.5
"Provo-Orem, UT",40.29636615,-111.6995588,8.891956522,PM2.5
"Pueblo, CO",38.276099,-104.597613,6.244628099,PM2.5
"Quincy, IL-MO",39.915409,-91.335868,10.45344828,PM2.5
"Raleigh-Cary, NC",35.82121667,-78.57328768,10.61938992,PM2.5
"Rapid City, SD",44.08621593,-103.2678309,5.665503686,PM2.5
"Reading, PA",40.38335,-75.9686,10.16555806,PM2.5
"Redding, CA",40.62535241,-122.3958685,4.937931034,PM2.5
"Reno-Sparks, NV",39.525083,-119.807717,6.139661119,PM2.5
"Richmond, VA",37.52333494,-77.41125076,9.875123153,PM2.5
"Richmond-Berea, KY",37.738458,-84.284952,10.70347826,PM2.5
"Riverside-San Bernardino-Ontario, CA",33.93860393,-117.2228888,11.09653575,PM2.5
"Riverton, WY",42.841049,-108.736277,9.405932203,PM2.5
"Roanoke, VA",37.29734829,-79.98745384,10.25659574,PM2.5
"Rochester, MN",43.996908,-92.450366,9.301724138,PM2.5
"Rochester, NY",43.14618,-77.54817,8.615178571,PM2.5
"Rock Springs, WY",41.591613,-109.220722,5.898095238,PM2.5
"Rockford, IL",42.263081,-89.092767,9.887735849,PM2.5
"Rocky Mount, NC",35.93355,-77.75007,9.700854701,PM2.5
"Rome, GA",34.26054,-85.32333,13.28227425,PM2.5
"Roswell, NM",33.396944,-104.523611,5.331683168,PM2.5
"Russellville, AR",35.259775,-93.10005,11.28319328,PM2.5
"Rutland, VT",43.608056,-72.982778,9.432758621,PM2.5
"Sacramento--Arden-Arcade--Roseville, CA",38.60858387,-121.4499857,7.717821782,PM2.5
"Salinas, CA",36.69676,-121.637182,6.449470975,PM2.5
"Salisbury, NC",35.551868,-80.395039,11.02894737,PM2.5
"Salt Lake City, UT",40.72784308,-111.9786522,9.515111111,PM2.5
"San Antonio, TX",29.39187509,-98.4616046,8.848598131,PM2.5
"San Diego-Carlsbad-San Marcos, CA",33.0655902,-117.0908327,5.564081604,PM2.5
"San Francisco-Oakland-Fremont, CA",37.71404508,-122.2127003,9.037374335,PM2.5
"San Jose-Sunnyvale-Santa Clara, CA",36.97531433,-121.5216514,7.289827971,PM2.5
"San Juan-Caguas-Guaynabo, PR",18.440095,-66.11446,8.410769231,PM2.5
"San Luis Obispo-Paso Robles, CA",35.2119431,-120.6107109,7.571759926,PM2.5
"Santa Barbara-Santa Maria-Goleta, CA",34.69370092,-120.0719256,8.227542991,PM2.5
"Santa Cruz-Watsonville, CA",36.983921,-121.989328,6.514847558,PM2.5
"Santa Fe, NM",35.671111,-105.953611,4.0125,PM2.5
"Santa Rosa-Petaluma, CA",38.443503,-122.710169,7.222441476,PM2.5
"Sault Ste. Marie, MI",46.48003727,-84.43280708,12.87534247,PM2.5
"Savannah, GA",32.1003745,-81.15143042,10.74473684,PM2.5
"Scottsbluff, NE",41.876853,-103.656561,5.298,PM2.5
"Scranton--Wilkes-Barre, PA",41.442778,-75.623056,9.696103943,PM2.5
"Seaford, DE",38.6539,-75.6106,9.895454545,PM2.5
"Searcy, AR",35.24894,-91.715596,11.67094017,PM2.5
"Seattle-Tacoma-Bellevue, WA",47.64023211,-122.253088,6.550538934,PM2.5
"Seneca, SC",34.805261,-83.2377,8.688073395,PM2.5
"Sheridan, WY",44.81129562,-106.96403,7.463122924,PM2.5
"Shreveport-Bossier City, LA",32.471666,-93.794999,10.98874172,PM2.5
"Sierra Vista-Douglas, AZ",31.3492,-109.539683,6.776271186,PM2.5
"Silver City, NM",32.784444,-108.271667,4.4875,PM2.5
"Sioux City, IA-NE-SD",42.78379491,-96.70459423,9.644379111,PM2.5
"Sioux Falls, SD",43.54746377,-96.70399391,10.05276977,PM2.5
"Somerset, KY",37.09798,-84.61152,11.00042245,PM2.5
"South Bend-Mishawaka, IN-MI",41.696692,-86.214683,13.76798922,PM2.5
"Spartanburg, SC",34.955566,-81.924797,11.4045584,PM2.5
"Spokane, WA",47.672482,-117.364852,7.483018868,PM2.5
"Springfield, IL",39.831921,-89.644164,11.46637931,PM2.5
"Springfield, MA",42.14996113,-72.57495832,8.44279661,PM2.5
"Springfield, MO",37.199541,-93.284874,10.12289157,PM2.5
"Springfield, OH",39.92882,-83.80949,13.13442623,PM2.5
"St. Cloud, MN",45.549839,-94.13345,8.171551724,PM2.5
"St. George, UT",37.1983,-113.1506,4.016489476,PM2.5
"St. Joseph, MO-KS",39.741694,-94.858584,12.03020603,PM2.5
"St. Louis, MO-IL",38.61557361,-90.26377219,12.04513495,PM2.5
"State College, PA",40.811389,-77.877028,9.220222832,PM2.5
"Stockton, CA",37.93687568,-121.2667798,11.82349018,PM2.5
"Syracuse, NY",43.05235,-76.05921,7.774782609,PM2.5
"Talladega-Sylacauga, AL",33.279747,-86.349438,11.74273504,PM2.5
"Tallahassee, FL",30.439722,-84.346389,9.782248521,PM2.5
"Tampa-St. Petersburg-Clearwater, FL",27.89439054,-82.51147769,8.145954357,PM2.5
"Terre Haute, IN",39.48244216,-87.39757451,13.17532738,PM2.5
"Texarkana, TX-Texarkana, AR",33.425758,-94.070802,12.14827586,PM2.5
"Thomasville-Lexington, NC",35.814444,-80.2625,12.07647059,PM2.5
"Toledo, OH",41.64256183,-83.55462775,11.24962025,PM2.5
"Topeka, KS",39.024265,-95.711275,9.017948718,PM2.5
"Torrington, CT",41.74944193,-73.20837007,6.737037037,PM2.5
"Trenton-Ewing, NJ",40.24317538,-74.78843462,9.219230769,PM2.5
"Truckee-Grass Valley, CA",39.31621582,-120.360704,5.246046512,PM2.5
"Tucson, AZ",32.30873138,-111.0099895,5.084388186,PM2.5
"Tulsa, OK",36.19979476,-95.97250905,10.73412073,PM2.5
"Tupelo, MS",34.264917,-88.766222,11.96239316,PM2.5
"Tuscaloosa, AL",33.18935,-87.484217,14.12722921,PM2.5
"Ukiah, CA",39.2802891,-123.2791388,7.154346459,PM2.5
"Valdosta, GA",30.848056,-83.294444,11.72222222,PM2.5
"Vallejo-Fairfield, CA",38.102507,-122.237976,8.604891304,PM2.5
"Vincennes, IN",38.740882,-87.484733,12.3026087,PM2.5
"Virginia Beach-Norfolk-Newport News, VA-NC",36.89013061,-76.25725967,9.91379845,PM2.5
"Visalia-Porterville, CA",36.332179,-119.291228,13.63166667,PM2.5
"Warner Robins, GA",32.6056,-83.597907,12.11296296,PM2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.965312,-77.01699518,10.9273635,PM2.5
"Waterloo-Cedar Falls, IA",42.49733486,-92.32983687,10.75625,PM2.5
"Watertown, SD",44.89965,-97.128802,8.749137931,PM2.5
"Weirton-Steubenville, WV-OH",40.37156001,-80.60230861,13.21819672,PM2.5
"Wheeling, WV-OH",40.01626136,-80.71727565,13.50932203,PM2.5
"Wichita, KS",37.62920351,-97.33308158,8.562381853,PM2.5
"Wilmington, NC",34.364167,-77.838611,8.019827586,PM2.5
"Winchester, VA-WV",39.28102,-78.08157,10.80762712,PM2.5
"Winston-Salem, NC",36.0878216,-80.25767634,10.78726415,PM2.5
"Worcester, MA",42.2620285,-71.7963485,8.415966387,PM2.5
"Yakima, WA",46.58701669,-120.5105795,8.609917355,PM2.5
"York-Hanover, PA",39.965278,-76.699444,12.10201228,PM2.5
"Youngstown-Warren-Boardman, OH-PA",41.18392862,-80.58298992,11.41093632,PM2.5
"Yuba City, CA",39.138773,-121.618549,6.131076923,PM2.5
